TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0xd8fd121ea0bfebd16eeaade159994cb073c1b5c38df8d28864589db0ca5aae44,2017603,2019-06-04 08:46:40.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,1606800000000000,ok,,,0.03497,0.03202
0xdc4b40639608f18d622e7049c67d7cd0675e6cc2545d9e1c02e434c9552256bf,2017595,2019-06-04 08:45:50.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,79723000000000,ok,,,0.03497,0.03202
0x7886c9d1fbad8125c4741418c65173e0c3167ce31183fa0c5367a9869d1222db,2017580,2019-06-04 08:44:25.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,79106000000000,ok,,,0.03497,0.03202
0xb31e1efa3c497f7a9129cfcd404e45e5ff9ebc8ec0bdd7e826a83993f172f8f3,2017576,2019-06-04 08:44:05.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,78489000000000,ok,,,0.03497,0.03202
0x44ee6e7ad1349badadcf310e2dd7877eb9b0c82cfc15622454acdc89bdd03e6d,2017567,2019-06-04 08:43:10.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,77872000000000,ok,,,0.03497,0.03202
0x598e1f97693a739179b11977625cb4eefe9d4e0762a4d41b678ec77c99997fe7,2017553,2019-06-04 08:41:50.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,77255000000000,ok,,,0.03497,0.03202
0x0c11a73066a53f825f7e9028a8aaf1596414d751a14ac21809e91726c39a0833,2017547,2019-06-04 08:41:20.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,76638000000000,ok,,,0.03497,0.03202
0xa099bb90d4f55807b480e9f09ea240ed2ea6123c570f830af03335f0f54e8730,2017541,2019-06-04 08:40:45.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,76021000000000,ok,,,0.03497,0.03202
0x021d13c42d3049d1a27279cc5ab2d606057c2e8f0a5ceaada89b5319671c984c,2017351,2019-06-04 08:22:40.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,75404000000000,ok,,,0.03497,0.03202
0x689afd8909f724688155ae0b532c3d50f75a0a6cae0a4f381f4fae1c8c70813d,2017112,2019-06-04 07:59:50.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,57453600000000000,ok,,,0.03497,0.03202
0x3588c81277d3b6f2ad1dc66ef81cde0e9f8cb55b80f4c46d2726b07a757f3e72,2017042,2019-06-04 07:53:10.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,66316000000000000,ok,,,0.03497,0.03202
0x2d8dda60f3cdc4978f187b7efdc515e4e5b0b59b69f12cc814a04e1f5fbd9102,2017013,2019-06-04 07:50:25.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,57645600000000000,ok,,,0.03497,0.03202
0x6d9ff759a4d51e7e64d9c8f21043470516499b37d9b9386f3aef977aba4fca21,2017001,2019-06-04 07:49:20.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,61840000000000000,ok,,,0.03497,0.03202
0x7b73b488236bf798aad39c327301c45f1c0fa069ab89c15c1d0b09e6f590fdd1,2016894,2019-06-04 07:39:05.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,69405600000000000,ok,,,0.03497,0.03202
0xb9b2c65283cf3e908481fec30fddcbc8d6821a3cded292a5962ab7f99ea6557e,2005311,2019-06-03 13:15:50.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,0,2539883000000000,ok,,,0.03845,0.03497
